technology,plant_id,generator_id,capacity_mw,capacity_mwh,nameplate_capacity_mw,winter_capacity_mw,operating_year,retirement_year,historical_capacity_factor,heat_rate_mmbtu_mwh,vom_per_mwh,fom_per_mwyr
Petroleum Liquids,3559,DG-6b,1.0,,1.3,1.0,2001,2051,0.0,12.159,2.740763267,1230.331313
Natural Gas Fired Combustion Turbine,3561,7,21.0,,22.0,21.0,1975,2030,0.021,17.251,2.740763267,8080.909324
Natural Gas Steam Turbine,3576,1,75.0,,75.0,75.0,1967,2030,0.0,12.847,0.164883224,5433.608873
Natural Gas Steam Turbine,3576,2,107.0,,113.4,107.0,1971,2046,0.038,13.235,0.164883224,5433.608873
Natural Gas Steam Turbine,3576,3,138.0,,156.6,138.0,1976,2051,0.041,13.8,0.164883224,5433.608873
Natural Gas Fired Combustion Turbine,3576,4,75.0,,82.7,81.0,2001,2056,0.047,13.093,28.46452204,8080.909324
Run of River Hydroelectric,3581,1,1.4,,1.4,1.4,1927,2027,0.264,,0.0,12755.0
Run of River Hydroelectric,3581,2,1.4,,1.4,1.4,1927,2027,0.264,,0.0,12119.0
Run of River Hydroelectric,3582,1,1.8,,1.8,1.8,1927,2027,0.106,,0.0,11742.0
Run of River Hydroelectric,3582,2,1.8,,1.8,1.8,1927,2027,0.106,,0.0,11391.0
Run of River Hydroelectric,3583,1,2.4,,2.4,2.4,1931,2031,0.214,,0.0,11213.0
Run of River Hydroelectric,3584,1,2.4,,2.4,2.4,1931,2031,0.0,,0.0,11173.0
Run of River Hydroelectric,3585,1,1.2,,1.2,1.2,1927,2027,0.204,,0.0,13734.0
Run of River Hydroelectric,3585,2,1.2,,1.2,1.2,1927,2027,0.204,,0.0,13114.0
Run of River Hydroelectric,3586,1,2.4,,2.4,2.4,1932,2032,0.246,,0.0,11218.0
Run of River Hydroelectric,3594,1,8.2,,9.0,8.2,1940,2040,0.105,,0.0,8186.0
Run of River Hydroelectric,3594,2,8.8,,9.0,8.8,1940,2040,0.105,,0.0,7809.0
Run of River Hydroelectric,3595,1,18.3,,18.3,18.3,1938,2038,0.048,,0.0,6541.0
Run of River Hydroelectric,3595,2,18.3,,18.3,18.3,1938,2038,0.048,,0.0,6515.0
Run of River Hydroelectric,3595,3,18.3,,18.3,18.3,1950,2050,0.048,,0.0,6556.0
Run of River Hydroelectric,3597,1,27.0,,27.0,27.0,1951,2051,0.049,,0.0,6503.0
Run of River Hydroelectric,3597,2,27.0,,27.0,27.0,1951,2051,0.049,,0.0,6449.0
Run of River Hydroelectric,3598,1,13.8,,15.0,13.8,1938,2038,0.093,,0.0,6953.0
Run of River Hydroelectric,3599,1,19.8,,19.8,19.8,1951,2051,0.038,,0.0,6922.0
Run of River Hydroelectric,3599,2,19.8,,19.8,19.8,1951,2051,0.038,,0.0,6800.0
Run of River Hydroelectric,3600,1,36.0,,36.0,36.0,1941,2041,0.069,,0.0,6497.0
Run of River Hydroelectric,3600,2,36.0,,36.0,36.0,1941,2041,0.069,,0.0,6425.0
Run of River Hydroelectric,3600,3,36.0,,36.0,36.0,1941,2041,0.069,,0.0,6420.0
Natural Gas Steam Turbine,3601,1,136.0,,136.0,140.0,1965,2040,0.183,11.686,0.184941495,6094.614856
Natural Gas Steam Turbine,3601,2,136.0,,136.0,140.0,1968,2043,0.232,11.518,0.184941495,6094.614856
Natural Gas Steam Turbine,3601,3,335.0,,351.0,340.0,1972,2047,0.235,10.929,0.184941495,6094.614856
Natural Gas Fired Combustion Turbine,3609,CGT1,46.0,,57.4,46.0,2004,2059,0.139,10.745,1.74861846,1121.119057
Natural Gas Fired Combustion Turbine,3609,CGT2,46.0,,57.4,46.0,2004,2059,0.139,10.745,1.74861846,1121.119057
Natural Gas Fired Combustion Turbine,3609,CGT3,46.0,,57.4,46.0,2004,2059,0.139,10.745,1.74861846,1121.119057
Natural Gas Fired Combustion Turbine,3609,CGT4,46.0,,57.4,46.0,2004,2059,0.139,10.745,1.74861846,1121.119057
Natural Gas Steam Turbine,3611,1,420.0,,446.0,420.0,1972,2027,0.303,11.42,2.229,9669.0
Natural Gas Steam Turbine,3611,2,410.0,,446.0,410.0,1974,2029,0.22,11.654,2.591,7217.0
Natural Gas Steam Turbine,3612,1,217.0,,225.0,217.0,1966,2025,0.174,11.398,7.006,12163.0
Natural Gas Steam Turbine,3612,2,230.0,,252.0,230.0,1968,2025,0.08,11.535,9.105,10945.0
Natural Gas Steam Turbine,3612,3,412.0,,417.0,412.0,1970,2025,0.259,11.472,2.126,9119.0
Natural Gas Fired Combustion Turbine,3612,5,48.0,,61.0,48.0,2010,2065,0.095,10.745,1.74861846,1121.119057
Natural Gas Fired Combustion Turbine,3612,6,48.0,,61.0,48.0,2010,2065,0.095,10.745,1.74861846,1121.119057
Natural Gas Fired Combustion Turbine,3612,7,48.0,,61.0,48.0,2010,2065,0.095,10.745,1.74861846,1121.119057
Natural Gas Fired Combustion Turbine,3612,8,47.0,,61.0,47.0,2010,2065,0.095,10.745,1.74861846,1121.119057
Natural Gas Steam Turbine,3628,1,66.0,,66.0,66.0,1968,2030,0.0,13.797,0.338551939,11156.73732
Natural Gas Steam Turbine,3628,2,118.0,,100.0,118.0,1972,2047,0.176,12.089,0.164883224,5433.608873
Natural Gas Steam Turbine,3628,3,195.0,,200.0,195.0,1975,2050,0.131,12.27,0.164883224,5433.608873
Natural Gas Fired Combustion Turbine,3628,4,104.0,,118.8,118.0,1994,2049,0.038,15.046,1.74861846,1121.119057
Natural Gas Fired Combustion Turbine,3628,5,104.0,,118.8,118.0,1994,2049,0.038,15.046,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,10A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,11A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,12A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,13A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,14A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,15A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,16A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,17A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,18A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,19A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,1A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,20A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,21A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,22A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,23A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,24A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,2A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,3A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,4A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,5A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,6A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,7A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,8A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,3630,9A,8.4,,8.4,8.4,2010,2065,0.224,10.745,1.74861846,1121.119057
Natural Gas Fired Combined Cycle,3631,10,37.0,,42.0,37.0,2003,2058,0.155,9.416,2.857,29080.0
Petroleum Liquids,3631,4,0.9,,1.6,0.9,1991,2041,0.018,11.109,2.740763267,8080.909324
Petroleum Liquids,3631,5,0.9,,1.6,0.9,1991,2041,0.018,11.157,2.740763267,8080.909324
Natural Gas Fired Combined Cycle,3631,7,49.0,,49.2,49.0,2003,2058,0.155,9.416,3.516257561,4342.0804259999995
Natural Gas Fired Combined Cycle,3631,8,49.0,,49.2,49.0,2003,2058,0.155,9.416,3.516257561,4342.0804259999995
Natural Gas Fired Combined Cycle,3631,9,48.0,,49.2,48.0,2003,2058,0.155,9.416,3.516257561,4342.0804259999995
Natural Gas Internal Combustion Engine,4195,EP,8.2,,8.4,8.2,2010,2065,0.132,10.745,1.370381634,8080.909324
Natural Gas Internal Combustion Engine,4195,EP2,8.2,,8.4,8.2,2010,2065,0.132,10.745,1.370381634,8080.909324
Natural Gas Internal Combustion Engine,4195,EP3,8.2,,8.4,8.2,2010,2065,0.132,10.745,1.370381634,8080.909324
Natural Gas Steam Turbine,4195,ST1,18.0,,18.8,18.0,1966,2030,0.04,23.362,0.339,11157.0
Petroleum Liquids,4195,ST2,23.0,,25.0,23.0,1967,2030,0.05,25.0,0.338551939,11156.73732
Petroleum Liquids,4195,ST3,41.0,,43.2,41.0,1978,2028,0.051,25.0,0.338551939,11156.73732
Natural Gas Fired Combined Cycle,4937,CT-1,162.12,,178.8145,174.665,2014,2069,0.727,7.05,0.839573492,4152.100625
Natural Gas Fired Combined Cycle,4937,CT-1,5.88,,6.4855,6.335,2014,2069,0.727,7.05,0.839573492,4152.100625
Natural Gas Fired Combined Cycle,4937,CT-2,5.88,,6.4855,6.335,2014,2069,0.727,7.05,0.839573492,4152.100625
Natural Gas Fired Combined Cycle,4937,CT-2,162.12,,178.8145,174.665,2014,2069,0.727,7.05,0.839573492,4152.100625
Natural Gas Fired Combined Cycle,4937,STG,173.7,,196.86,187.21,2014,2069,0.727,7.05,0.839573492,4152.100625
Natural Gas Fired Combined Cycle,4937,STG,6.3,,7.14,6.79,2014,2069,0.727,7.05,0.839573492,4152.100625
Natural Gas Fired Combined Cycle,4939,2,319.0,,351.0,325.0,1976,2031,0.219,7.821,1.830270212,4152.100625
Natural Gas Fired Combined Cycle,4939,3,157.0,,189.6,165.0,2010,2065,0.219,7.821,1.830270212,4152.100625
Natural Gas Fired Combined Cycle,4939,4,157.0,,189.6,165.0,2010,2065,0.219,7.821,1.830270212,4152.100625
Nuclear,6145,1,1205.0,,1215.0,1235.0,1990,2070,0.909,10.456,0.075920371,57845.31086
Nuclear,6145,2,1195.0,,1215.0,1225.0,1993,2073,0.907,10.456,0.07608778,57845.31086
Conventional Steam Coal,6146,1,800.0,,793.2,815.0,1977,2052,0.594,11.395,0.69620849,14270.57927
Conventional Steam Coal,6146,2,805.0,,793.2,820.0,1978,2053,0.565,11.396,0.69620849,14270.57927
Conventional Steam Coal,6146,3,805.0,,793.2,820.0,1979,2054,0.615,11.447,0.69620849,14270.57927
Conventional Steam Coal,6178,1,655.0,,622.4,655.0,1980,2029,0.503,10.661,0.434106855,10328.70191
Conventional Steam Coal,6179,3,435.0,,460.0,440.0,1988,2063,0.735,10.681,0.467123062,10754.0436
Conventional Steam Coal,6180,OG1,855.0,,916.8,855.0,2010,2085,0.832,10.415,0.921768751,25956.4892
Conventional Steam Coal,6180,OG2,855.0,,878.6,855.0,2011,2086,0.84,10.409,0.921768751,25956.4892
Conventional Steam Coal,6183,1,391.0,,410.0,391.0,1982,2057,0.571,13.031,0.617155378,14155.18861
Natural Gas Steam Turbine,6243,1,110.0,,105.0,110.0,1978,2053,0.097,15.06,0.338551939,11156.73732
Natural Gas Fired Combustion Turbine,6243,2,47.1,,49.1,48.1,2004,2059,0.113,10.745,14.23226102,8080.909324
Natural Gas Fired Combustion Turbine,6243,3,47.1,,49.1,48.1,2010,2065,0.113,10.745,14.23226102,8080.909324
Nuclear,6251,1,208.0,,216.688,214.4,1988,2068,0.943,10.456,0.073183051,57845.31086
Nuclear,6251,1,520.0,,541.72,536.0,1988,2068,0.943,10.456,0.073183051,57845.31086
Nuclear,6251,1,572.0,,595.892,589.6,1988,2068,0.943,10.456,0.073183051,57845.31086
Nuclear,6251,2,204.8,,216.688,211.2,1989,2069,0.956,10.456,0.072187884,57845.31086
Nuclear,6251,2,512.0,,541.72,528.0,1989,2069,0.956,10.456,0.072187884,57845.31086
Nuclear,6251,2,563.2,,595.892,580.8,1989,2069,0.956,10.456,0.072187884,57845.31086
Run of River Hydroelectric,6410,1,10.5,,10.5,10.5,1954,2054,0.153,,0.0,9014.0
Run of River Hydroelectric,6410,2,10.0,,10.5,10.0,1954,2054,0.153,,0.0,8659.0
Run of River Hydroelectric,6410,3,10.0,,10.5,10.0,1954,2054,0.153,,0.0,8659.0
Conventional Hydroelectric,6414,1,21.0,,20.9,21.0,1953,2053,0.095,,0.0,8106.0
Conventional Hydroelectric,6414,2,21.0,,20.9,21.0,1953,2053,0.095,,0.0,7700.0
Conventional Hydroelectric,6416,1,50.0,,53.5,50.0,1945,2045,0.219,,0.0,7525.0
Conventional Hydroelectric,6416,2,50.0,,50.8,50.0,1949,2049,0.217,,0.0,7920.0
Batteries,67740,AES,240.0,696.0,240.0,240.0,2025,2040,0.85,,0.0,12544.0
Conventional Steam Coal,7030,1,152.0,,174.6,153.0,1990,2065,0.877,11.846,0.493724303,14155.18861
Conventional Steam Coal,7030,2,153.0,,174.6,154.0,1991,2066,0.898,11.766,0.493724303,14155.18861
Conventional Steam Coal,7097,1,560.0,,566.0,560.0,1992,2028,0.479,10.146,0.522375248,10328.70191
Conventional Steam Coal,7097,2,785.0,,922.5,785.0,2010,2085,0.567,10.045,0.522375248,10328.70191
Natural Gas Fired Combustion Turbine,7325,1,80.0,,88.2,87.0,1995,2050,0.49,13.347,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,7325,2,80.0,,88.2,87.0,1995,2050,0.49,13.347,7.017535275,10539.91632
Batteries,65588,ANTLA,70.0,203.0,70.0,70.0,2024,2039,0.85,,0.0,12544.0
Natural Gas Fired Combined Cycle,7512,1,164.0,,187.5,176.0,2000,2055,0.638,7.05,4.178350135,2302.3782220000003
Natural Gas Fired Combined Cycle,7512,2,164.0,,187.5,176.0,2000,2055,0.638,7.05,4.178350135,2302.3782220000003
Natural Gas Fired Combined Cycle,7512,3,190.0,,200.0,197.0,2000,2055,0.638,7.05,4.178350135,2302.3782220000003
Natural Gas Fired Combined Cycle,7900,5A,161.0,,198.0,180.0,2004,2059,0.432,8.022,0.666387202,8987.410604
Natural Gas Fired Combined Cycle,7900,5C,151.0,,190.0,164.0,2004,2059,0.432,8.022,0.666387202,8987.410604
Natural Gas Fired Combustion Turbine,7900,SH1,47.3,,51.4,47.3,2001,2056,0.202,10.745,0.473571606,1121.119057
Natural Gas Fired Combustion Turbine,7900,SH2,47.3,,51.4,47.3,2001,2056,0.202,10.745,0.473571606,1121.119057
